Year,Period,State,County,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
2017,YEAR,MISSISSIPPI,DE SOTO,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"16,799",35.2
2017,YEAR,MISSISSIPPI,GRENADA,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED, (D),(D)
2017,YEAR,MISSISSIPPI,LAFAYETTE,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"7,207",35.2
2017,YEAR,MISSISSIPPI,MARSHALL,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"5,111",35.2
2017,YEAR,MISSISSIPPI,PANOLA,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"59,538",35.2
2017,YEAR,MISSISSIPPI,TATE,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"10,738",35.2
2017,YEAR,MISSISSIPPI,YALOBUSHA,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"11,325",35.2
2017,YEAR,MISSISSIPPI,ALCORN,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"6,744",35.2
2017,YEAR,MISSISSIPPI,ITAWAMBA,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"4,922",35.2
2017,YEAR,MISSISSIPPI,LEE,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"13,151",35.2
2017,YEAR,MISSISSIPPI,PONTOTOC,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"1,606",35.2
2017,YEAR,MISSISSIPPI,PRENTISS,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"5,708",35.2
2017,YEAR,MISSISSIPPI,TIPPAH,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"6,630",35.2
2017,YEAR,MISSISSIPPI,TISHOMINGO,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"19,470",35.2
2017,YEAR,MISSISSIPPI,UNION,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED, (D),(D)
2017,YEAR,MISSISSIPPI,COVINGTON,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED, (D),(D)
2017,YEAR,MISSISSIPPI,SMITH,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED, (D),(D)
2017,YEAR,MISSISSIPPI,FORREST,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED, (D),(D)
2017,YEAR,MISSISSIPPI,GEORGE,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"4,723",35.2
2017,YEAR,MISSISSIPPI,JACKSON,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED, (D),(D)
2017,YEAR,MISSISSIPPI,PERRY,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED, (D),(D)
2017,YEAR,MISSISSIPPI,STONE,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED, (D),(D)
2017,YEAR,MISSISSIPPI,ADAMS,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"4,449",35.2
2017,YEAR,MISSISSIPPI,CLAIBORNE,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"6,451",35.2
2017,YEAR,MISSISSIPPI,COPIAH,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED, (D),(D)
2017,YEAR,MISSISSIPPI,HINDS,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"7,847",35.2
2017,YEAR,MISSISSIPPI,JEFFERSON,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED, (D),(D)
2017,YEAR,MISSISSIPPI,WARREN,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"20,086",35.2
2017,YEAR,MISSISSIPPI,BOLIVAR,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"32,760",35.2
2017,YEAR,MISSISSIPPI,COAHOMA,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"189,810",35.2
2017,YEAR,MISSISSIPPI,QUITMAN,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"52,148",35.2
2017,YEAR,MISSISSIPPI,TALLAHATCHIE,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"106,192",35.2
2017,YEAR,MISSISSIPPI,TUNICA,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"77,328",35.2
